Material,Geometry,H_nm,Temperature_K,Energy_level,Frequency_THz,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio,Relative_change_percent
Si,Bulk,,300,E3,6.4,145.46,133.42,0.9172281,-8.277190000000001
Si,Bulk,,300,E1,6.8,145.46,141.04,0.9696136,-3.0386400000000036
Si,Bulk,,300,E2,6.8,145.46,135.79,0.9335212,-6.647879999999995
Si,Bulk,,300,E3,6.8,145.46,126.84,0.8719923,-12.800769999999995
Si,Bulk,,300,E1,7.2,145.46,141.82,0.9749759,-2.5024099999999994
Si,Bulk,,300,E2,7.2,145.46,136.33,0.9372336,-6.27664
Si,Bulk,,300,E3,7.2,145.46,127.06,0.8735047,-12.649529999999999
Si,Bulk,,300,E1,7.6,145.46,141.66,0.973876,-2.6124000000000036
Si,Bulk,,300,E2,7.6,145.46,135.74,0.9331775,-6.682250000000001
Si,Bulk,,300,E3,7.6,145.46,125.86,0.8652551,-13.474489999999994
Si,Bulk,,300,E1,8.0,145.46,142.06,0.9766259,-2.3374099999999953
Si,Bulk,,300,E2,8.0,145.46,136.05,0.9353087,-6.469130000000001
Si,Bulk,,300,E3,8.0,145.46,125.98,0.86608,-13.392000000000003
Si,Bulk,,300,E1,8.4,145.46,141.0,0.9693386,-3.066139999999995
Si,Bulk,,300,E2,8.4,145.46,135.05,0.9284339,-7.156609999999997
Si,Bulk,,300,E3,8.4,145.46,124.98,0.8592053,-14.079470000000004
Si,Bulk,,300,E1,8.8,145.46,139.37,0.9581328,-4.186719999999999
Si,Bulk,,300,E2,8.8,145.46,132.01,0.9075347,-9.246529999999996
Si,Bulk,,300,E3,8.8,145.46,120.18,0.8262065,-17.379350000000006
Si,Bulk,,300,E1,9.2,145.46,138.1,0.9494019,-5.059809999999998
Si,Bulk,,300,E2,9.2,145.46,130.41,0.8965351,-10.346489999999998
Si,Bulk,,300,E3,9.2,145.46,117.94,0.8108071,-18.91929
Si,Bulk,,300,E1,9.6,145.46,135.38,0.9307026,-6.929739999999995
Si,Bulk,,300,E2,9.6,145.46,126.06,0.86663,-13.337
Si,Bulk,,300,E3,9.6,145.46,111.39,0.7657775,-23.42225
Si,Bulk,,300,E1,10.0,145.46,130.07,0.8941977,-10.580230000000002
Si,Bulk,,300,E2,10.0,145.46,118.96,0.8178193,-18.218069999999997
Si,Bulk,,300,E3,10.0,145.46,102.65,0.7056923,-29.430769999999995
Si,Bulk,,300,E1,10.4,145.46,125.21,0.8607865,-13.921349999999999
Si,Bulk,,300,E2,10.4,145.46,112.65,0.7744397,-22.556030000000003
Si,Bulk,,300,E3,10.4,145.46,96.335,0.6622783,-33.77217
Si,Bulk,,300,E1,10.8,145.46,125.33,0.8616114,-13.838859999999997
Si,Bulk,,300,E2,10.8,145.46,112.72,0.7749209,-22.50791
Si,Bulk,,300,E3,10.8,145.46,97.036,0.6670975,-33.29025
Si,Bulk,,300,E1,11.2,145.46,128.36,0.8824419,-11.75581
Si,Bulk,,300,E2,11.2,145.46,117.75,0.8095009,-19.049910000000004
