Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,100,10.0,37.734179,3.7734178999999997,3.4,7.5,0.4533333333333333,5.915075123229841,6.032534152861769,1.0198575719132694,1.0198575719132694,1.9857571913269423,False
Ge,100,10.0,37.734179,3.7734178999999997,3.6,7.5,0.48000000000000004,5.915075123229841,6.112603321451554,1.0333940303557558,1.0333940303557558,3.3394030355755833,False
Ge,100,10.0,37.734179,3.7734178999999997,3.8,7.5,0.5066666666666666,5.915075123229841,6.058552524477329,1.0242562263806285,1.0242562263806285,2.425622638062852,False
Ge,100,10.0,37.734179,3.7734178999999997,4.0,7.5,0.5333333333333333,5.915075123229841,6.039565983919278,1.0210463701805803,1.0210463701805803,2.104637018058031,False
Ge,100,10.0,37.734179,3.7734178999999997,4.2,7.5,0.56,5.915075123229841,5.974807425841927,1.0100983168206104,1.0100983168206104,1.0098316820610354,False
Ge,100,10.0,37.734179,3.7734178999999997,4.4,7.5,0.5866666666666667,5.915075123229841,5.947209181907222,1.005432569833506,1.005432569833506,0.543256983350604,False
Ge,100,10.0,37.734179,3.7734178999999997,4.6,7.5,0.6133333333333333,5.915075123229841,5.960463639227243,1.007673362561221,1.007673362561221,0.7673362561221087,False
Ge,100,10.0,37.734179,3.7734178999999997,4.8,7.5,0.64,5.915075123229841,5.943377945190369,1.0047848626384095,1.0047848626384095,0.4784862638409493,False
Ge,100,10.0,37.734179,3.7734178999999997,5.0,7.5,0.6666666666666666,5.915075123229841,5.866695793438774,0.9918210117736171,0.9918210117736171,-0.8178988226382855,False
Ge,100,10.0,37.734179,3.7734178999999997,5.2,7.5,0.6933333333333334,5.915075123229841,5.773210995407532,0.976016512915419,0.976016512915419,-2.398348708458098,False
Ge,100,10.0,37.734179,3.7734178999999997,5.4,7.5,0.7200000000000001,5.915075123229841,5.6960936467734395,0.962979087856989,0.962979087856989,-3.7020912143010953,False
Ge,100,10.0,37.734179,3.7734178999999997,5.6,7.5,0.7466666666666666,5.915075123229841,5.642371090516046,0.9538967761131512,0.9538967761131512,-4.610322388684884,False
